"Van Nistelrooy leaves Man Utd as Amorim takes charge","Ruud van Nistelrooy will not be part of Ruben Amorim's coaching staff and has left Manchester United.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Van Nistelrooy was appointed as assistant manager in the summer and became interim head coach when former United boss Erik ten Hag was sacked last month.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","He signed off in style bybeating Leicester 3-0at Old Trafford on Sunday to stay unbeaten in his four games in charge, but the club confirmed his departure on Monday as Amorim arrived to begin his time at the helm.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Ruud is and always will be a Manchester United legend," the club said.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","We are grateful for his contribution and the way in which he approached his role throughout his time with the club.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","He will always be very welcome at Old Trafford.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Assistant manager Rene Hake, goalkeeping coach Jelle ten Rouwelaar and analyst Pieter Morel have also left the club.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","This was the first big call for Amorim to make as United boss and he acted decisively.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Van Nistelrooy made it clear he would like to continue helping at Old Trafford and had the backing of the players, but Amorim wasted no time in jettisoning a club legend.","1"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","It was always going to be difficult for Van Nistelrooy to be kept on after saying he would one day like the job that Amorim has just taken up.","1"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","We saw under Ten Hag that the presence of Van Nistelrooy in the dugout always felt ominous.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","This was the man in charge of PSV, one of Netherlands' biggest clubs, as recently as last year.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Van Nistelrooy feels like a head coach.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","His impressive handling of the situation he inherited from Ten Hag had only added to his plausibility as such.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Van Nistelrooy, particularly in his dealings with the media, almost did too well.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Keeping him on may have brought added pressure for Amorim.","1"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Amorim is also expected to bring a whole team of his own people from Sporting, leaving it unclear where Van Nistelrooy would have fitted had he stayed.","1"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","The Dutchman wanted to help, but would he have been happy on the periphery?","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","There is, of course, the argument Van Nistelrooy knows the club well and has had a first-hand view of the squad since the summer, so could have been invaluable to Amorim, at the very least in the short-term.","1"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","But Darren Fletcher remains embedded in the set-up at United and serves a similar purpose without bringing the baggage of being a threat to his job if results go south.","1"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Amorim arrived at Man Utd's Carrington training complex on Monday afternoon.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","The 39-year-old boarded a flight from Beja airport in Portugal to Manchester in the morning.","0"
"Van Nistelrooy leaves Man Utd as Amorim takes charge","Amorim was greeted outside the men's first-team building with a hug from chief executive Omar Berrada, and was also welcomed by sporting director Dan Ashworth and technical director Jason Wilcox.","0"
"Premier League hits & misses: Odegaard gives Arsenal title hope","A nine-point gap is big at any stage of the season but there is still hope for the Gunners because of Martin Odegaard.","1"
"Premier League hits & misses: Odegaard gives Arsenal title hope","The skipper hadn't started a game since August 31 because of injury but he returned at Stamford Bridge and showed just how big a miss he's been for Mikel Arteta.","1"
"Premier League hits & misses: Odegaard gives Arsenal title hope","I don't know another player that is capable of doing that after six weeks out," Arteta said in his post-match press conference.","0"
"Premier League hits & misses: Odegaard gives Arsenal title hope","It started early in the game too.","0"
